RBP name	GeneID	Essential Genes	Splicing regulation	Spliceosome	RNA modification	3' end processing	rRNA processing	Ribosome & basic translation	RNA stability & decay	microRNA processing	RNA localization	RNA export	Translation regulation	tRNA regulation	mitochondrial RNA regulation	Viral RNA regulation	snoRNA / snRNA / telomerase	P-body / stress granules	Exon Junction Complex
A1CF	ENSG00000148584	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
AARS	ENSG00000090861	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AATF	ENSG00000108270	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF1	ENSG00000204574	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABT1	ENSG00000146109	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	ENSG00000122729	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ADAR	ENSG00000160710	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADD1	ENSG00000087274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGGF1	ENSG00000164252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGO1	ENSG00000092847	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
AIMP1	ENSG00000164022	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AKAP1	ENSG00000121057	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0
AKAP8	ENSG00000105127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP8L	ENSG00000011243	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ALYREF	ENSG00000183684	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
APOBEC3C	ENSG00000244509	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQR	ENSG00000021776	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASCC1	ENSG00000138303	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5C1	ENSG00000165629	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATXN1	ENSG00000124788	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
ATXN2	ENSG00000204842	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
AUH	ENSG00000148090	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
BCCIP	ENSG00000107949	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCLAF1	ENSG00000029363	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BOLL	ENSG00000152430	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BOP1	ENSG00000261236	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BUD13	ENSG00000137656	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
CALR	ENSG00000179218	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CASC3	ENSG00000108349	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCAR1	ENSG00000060339	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCAR2	ENSG00000158941	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC124	ENSG00000007080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC86	ENSG00000110104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
