RBP_motif_ID	RBP_name	Motif_type	Organism	Gene_ID	Function_IDs	Reference	Experiment	Comments
A1CF_RNCMPT00001	A1CF	meme_xml	human	ENSG00000148584	RM;RSD;RE	23846655	RNAcompete	-
ANKHD1_RNCMPT00002	ANKHD1	meme_xml	human	-	-	23846655	RNAcompete	-
BRUNOL4_RNCMPT00004	BRUNOL4	meme_xml	human	-	-	23846655	RNAcompete	-
BRUNOL5_RNCMPT00166	BRUNOL5	meme_xml	human	-	-	23846655	RNAcompete	-
BRUNOL6_RNCMPT00187	BRUNOL6	meme_xml	human	-	-	23846655	RNAcompete	-
CNOT4_RNCMPT00156	CNOT4	meme_xml	human	ENSG00000080802	-	23846655	RNAcompete	-
CPEB2_RNCMPT00012	CPEB2	meme_xml	human	-	-	23846655	RNAcompete	-
CPEB4_RNCMPT00158	CPEB4	meme_xml	human	ENSG00000113742	TEP;TR	23846655	RNAcompete	-
DAZAP1_RNCMPT00013	DAZAP1	meme_xml	human	ENSG00000071626	SR;TR	23846655	RNAcompete	-
ENOX1_RNCMPT00149	ENOX1	meme_xml	human	-	-	23846655	RNAcompete	-
ESRP2_RNCMPT00150	ESRP2	meme_xml	human	-	-	23846655	RNAcompete	-
FMR1_RNCMPT00016	FMR1	meme_xml	human	ENSG00000102081	SR;RSD;MRP;RL;TR	23846655	RNAcompete	-
FUS_RNCMPT00018	FUS	meme_xml	human	ENSG00000089280	SR;MRP;PSG	23846655	RNAcompete	-
FXR1_RNCMPT00161	FXR1	meme_xml	human	ENSG00000114416	RSD;MRP;TR;MTR	23846655	RNAcompete	-
FXR2_RNCMPT00020	FXR2	meme_xml	human	ENSG00000129245	RSD;TR	23846655	RNAcompete	-
G3BP2_RNCMPT00021	G3BP2	meme_xml	human	ENSG00000138757	RL;VRR;PSG	23846655	RNAcompete	-
HNRNPA1_RNCMPT00022	HNRNPA1	meme_xml	human	ENSG00000135486	SR;MRP;RL;RE;TR;VRR	23846655	RNAcompete	-
HNRNPA1L2_RNCMPT00023	HNRNPA1L2	meme_xml	human	-	-	23846655	RNAcompete	-
HNRNPA2B1_RNCMPT00024	HNRNPA2B1	meme_xml	human	ENSG00000122566	SR;RM;RSD;MRP;RL;RE;TR;VRR	23846655	RNAcompete	-
HNRNPC_RNCMPT00025	HNRNPC	meme_xml	human	ENSG00000092199	SR;RSD;RE;TR;VRR;SNT	23846655	RNAcompete	-
HNRNPCL1_RNCMPT00167	HNRNPCL1	meme_xml	human	ENSG00000179172	-	23846655	RNAcompete	-
