RBP_motif_id	RBP_name	Motif_type	Organism
A1CF_1	A1CF	meme_xml	human
A1CF_2	A1CF	meme_xml	human
ACIN1_1	ACIN1	meme_xml	human
ACIN1_2	ACIN1	meme_xml	human
ACO1_1	ACO1	meme_xml	human
ADAR_1	ADAR	meme_xml	human
ADAR_2	ADAR	meme_xml	human
ADAR_3	ADAR	meme_xml	human
ADAR_4	ADAR	meme_xml	human
AGGF1_1	AGGF1	meme_xml	human
AGGF1_2	AGGF1	meme_xml	human
AGO1_1	AGO1	meme_xml	human
AGO2_1	AGO2	meme_xml	human
AGO2_2	AGO2	meme_xml	human
AKAP1_1	AKAP1	meme_xml	human
AKAP8_1	AKAP8	meme_xml	human
ANKHD1_1	ANKHD1	meme_xml	human
AUH_1	AUH	meme_xml	human
AUH_2	AUH	meme_xml	human
BCCIP_1	BCCIP	meme_xml	human
BOLL_1	BOLL	meme_xml	human
BOLL_2	BOLL	meme_xml	human
BOLL_3	BOLL	meme_xml	human
BUD13_1	BUD13	meme_xml	human
BUD13_2	BUD13	meme_xml	human
BUD13_3	BUD13	meme_xml	human
BUD13_4	BUD13	meme_xml	human
CAPRIN1_1	CAPRIN1	meme_xml	human
CBX7_1	CBX7	meme_xml	human
CDC40_1	CDC40	meme_xml	human
CDC40_2	CDC40	meme_xml	human
CELF1_1	CELF1	meme_xml	human
CELF2_1	CELF2	meme_xml	human
CELF2_2	CELF2	meme_xml	human
CELF4_1	CELF4	meme_xml	human
CELF5_1	CELF5	meme_xml	human
CELF6_1	CELF6	meme_xml	human
CNBP_1	CNBP	meme_xml	human
CNBP_2	CNBP	meme_xml	human
CNOT4_1	CNOT4	meme_xml	human
CPEB1_1	CPEB1	meme_xml	human
CPEB2_1	CPEB2	meme_xml	human
CPEB4_1	CPEB4	meme_xml	human
CPSF6_1	CPSF6	meme_xml	human
CPSF7_1	CPSF7	meme_xml	human
CSTF2_1	CSTF2	meme_xml	human
CSTF2_2	CSTF2	meme_xml	human
CSTF2T_1	CSTF2T	meme_xml	human
CSTF2T_2	CSTF2T	meme_xml	human
DAZ3_1	DAZ3	meme_xml	human
DAZ3_2	DAZ3	meme_xml	human
DAZ3_3	DAZ3	meme_xml	human
DAZ3_4	DAZ3	meme_xml	human
DAZAP1_1	DAZAP1	meme_xml	human
DAZAP1_2	DAZAP1	meme_xml	human
DAZAP1_3	DAZAP1	meme_xml	human
DAZAP1_4	DAZAP1	meme_xml	human
DDX3X_1	DDX3X	meme_xml	human
DDX3X_2	DDX3X	meme_xml	human
DDX6_1	DDX6	meme_xml	human
DDX19B_1	DDX19B	meme_xml	human
DDX24_1	DDX24	meme_xml	human
DDX24_2	DDX24	meme_xml	human
DDX54_1	DDX54	meme_xml	human
DDX54_2	DDX54	meme_xml	human
DDX55_1	DDX55	meme_xml	human
DDX55_2	DDX55	meme_xml	human
DDX55_3	DDX55	meme_xml	human
DDX55_4	DDX55	meme_xml	human
