RBP_motif_id	RBP_name	Motif_type	Organism	Reference	Experiment
RNCMPT01219	RPL5	meme	human	37002329	RNAcompete
RNCMPT01084	RPL11	meme	human	37002329	RNAcompete
RNCMPT01297	RPL22	meme	human	37002329	RNAcompete
RNCMPT01114	RPL30	meme	human	37002329	RNAcompete
RNCMPT01363	RPS12	meme	human	37002329	RNAcompete
RNCMPT01071	NHP2L1	meme	human	37002329	RNAcompete
RNCMPT01740	RPS2	meme	human	37002329	RNAcompete
RNCMPT01411	RPS15A	meme	human	37002329	RNAcompete
RNCMPT01299	RPP25	meme	human	37002329	RNAcompete
RNCMPT01313	PEG10	meme	human	37002329	RNAcompete
RNCMPT01267	GAR1	meme	human	37002329	RNAcompete
RNCMPT00625	SERBP1	meme	human	37002329	RNAcompete
RNCMPT01140	LSM6	meme	human	37002329	RNAcompete
RNCMPT01322	NUDT21	meme	human	37002329	RNAcompete
RNCMPT00592	IFIT2	meme	human	37002329	RNAcompete
RNCMPT01327	CNBP	meme	human	37002329	RNAcompete
RNCMPT01357	ZRANB2	meme	human	37002329	RNAcompete
RNCMPT01394	PRPF31	meme	human	37002329	RNAcompete
RNCMPT01334	NUDT16L1	meme	human	37002329	RNAcompete
RNCMPT01439	PURA	meme	human	37002329	RNAcompete
RNCMPT01403	SSBP1	meme	human	37002329	RNAcompete
RNCMPT01854	HARS2	meme	human	37002329	RNAcompete
RNCMPT00297	ILF2	meme	human	37002329	RNAcompete
