RBP_motif_id	RBP_name	Motif_type	Organism
AGGF1_1	AGGF1	meme_xml	human
AGGF1_2	AGGF1	meme_xml	human
AKAP1_1	AKAP1	meme_xml	human
BCCIP_1	BCCIP	meme_xml	human
BUD13_1	BUD13	meme_xml	human
BUD13_2	BUD13	meme_xml	human
BUD13_3	BUD13	meme_xml	human
BUD13_4	BUD13	meme_xml	human
CDC40_1	CDC40	meme_xml	human
CDC40_2	CDC40	meme_xml	human
CPEB4_1	CPEB4	meme_xml	human
CPSF6_1	CPSF6	meme_xml	human
CSTF2_1	CSTF2	meme_xml	human
CSTF2_2	CSTF2	meme_xml	human
CSTF2T_1	CSTF2T	meme_xml	human
CSTF2T_2	CSTF2T	meme_xml	human
DDX3X_1	DDX3X	meme_xml	human
DDX3X_2	DDX3X	meme_xml	human
DDX6_1	DDX6	meme_xml	human
DDX24_1	DDX24	meme_xml	human
DDX24_2	DDX24	meme_xml	human
DDX55_1	DDX55	meme_xml	human
DDX55_2	DDX55	meme_xml	human
DDX55_3	DDX55	meme_xml	human
DDX55_4	DDX55	meme_xml	human
DDX55_5	DDX55	meme_xml	human
DDX55_6	DDX55	meme_xml	human
DDX59_1	DDX59	meme_xml	human
DGCR8_1	DGCR8	meme_xml	human
DKC1_1	DKC1	meme_xml	human
DKC1_2	DKC1	meme_xml	human
DKC1_3	DKC1	meme_xml	human
EFTUD2_1	EFTUD2	meme_xml	human
EIF3D_1	EIF3D	meme_xml	human
EIF3D_2	EIF3D	meme_xml	human
EIF3D_3	EIF3D	meme_xml	human
EIF3D_4	EIF3D	meme_xml	human
EIF3D_5	EIF3D	meme_xml	human
EIF4G2_1	EIF4G2	meme_xml	human
EIF4G2_2	EIF4G2	meme_xml	human
EIF4G2_3	EIF4G2	meme_xml	human
EIF4G2_4	EIF4G2	meme_xml	human
EWSR1_1	EWSR1	meme_xml	human
EWSR1_2	EWSR1	meme_xml	human
FAM120A_1	FAM120A	meme_xml	human
FAM120A_2	FAM120A	meme_xml	human
FAM120A_3	FAM120A	meme_xml	human
FASTKD2_1	FASTKD2	meme_xml	human
FASTKD2_2	FASTKD2	meme_xml	human
FASTKD2_3	FASTKD2	meme_xml	human
FMR1_1	FMR1	meme_xml	human
FMR1_2	FMR1	meme_xml	human
FMR1_3	FMR1	meme_xml	human
FMR1_4	FMR1	meme_xml	human
FMR1_5	FMR1	meme_xml	human
FTO_1	FTO	meme_xml	human
FTO_2	FTO	meme_xml	human
FUBP3_1	FUBP3	meme_xml	human
FUBP3_2	FUBP3	meme_xml	human
FUS_1	FUS	meme_xml	human
FUS_2	FUS	meme_xml	human
FXR1_1	FXR1	meme_xml	human
FXR1_2	FXR1	meme_xml	human
FXR2_1	FXR2	meme_xml	human
FXR2_2	FXR2	meme_xml	human
FXR2_3	FXR2	meme_xml	human
FXR2_4	FXR2	meme_xml	human
FXR2_5	FXR2	meme_xml	human
G3BP1_1	G3BP1	meme_xml	human
G3BP1_2	G3BP1	meme_xml	human
GNL3_1	GNL3	meme_xml	human
GNL3_2	GNL3	meme_xml	human
GPKOW_1	GPKOW	meme_xml	human
GPKOW_2	GPKOW	meme_xml	human
GRSF1_1	GRSF1	meme_xml	human
GRSF1_2	GRSF1	meme_xml	human
GRWD1_1	GRWD1	meme_xml	human
GRWD1_2	GRWD1	meme_xml	human
GTF2F1_1	GTF2F1	meme_xml	human
HLTF_1	HLTF	meme_xml	human
HNRNPA1_1	HNRNPA1	meme_xml	human
HNRNPA1_2	HNRNPA1	meme_xml	human
HNRNPA1_3	HNRNPA1	meme_xml	human
HNRNPA1_4	HNRNPA1	meme_xml	human
HNRNPA1_5	HNRNPA1	meme_xml	human
HNRNPA1_6	HNRNPA1	meme_xml	human
HNRNPA1_7	HNRNPA1	meme_xml	human
HNRNPC_1	HNRNPC	meme_xml	human
HNRNPC_2	HNRNPC	meme_xml	human
HNRNPK_1	HNRNPK	meme_xml	human
HNRNPK_2	HNRNPK	meme_xml	human
HNRNPL_1	HNRNPL	meme_xml	human
HNRNPL_2	HNRNPL	meme_xml	human
HNRNPL_3	HNRNPL	meme_xml	human
HNRNPL_4	HNRNPL	meme_xml	human
HNRNPL_5	HNRNPL	meme_xml	human
HNRNPM_1	HNRNPM	meme_xml	human
HNRNPM_2	HNRNPM	meme_xml	human
HNRNPM_3	HNRNPM	meme_xml	human
HNRNPM_4	HNRNPM	meme_xml	human
HNRNPM_5	HNRNPM	meme_xml	human
HNRNPU_1	HNRNPU	meme_xml	human
HNRNPU_2	HNRNPU	meme_xml	human
HNRNPU_3	HNRNPU	meme_xml	human
HNRNPU_4	HNRNPU	meme_xml	human
HNRNPU_5	HNRNPU	meme_xml	human
HNRNPU_6	HNRNPU	meme_xml	human
HNRNPUL1_1	HNRNPUL1	meme_xml	human
HNRNPUL1_2	HNRNPUL1	meme_xml	human
HNRNPUL1_3	HNRNPUL1	meme_xml	human
HNRNPUL1_4	HNRNPUL1	meme_xml	human
IGF2BP1_1	IGF2BP1	meme_xml	human
IGF2BP1_2	IGF2BP1	meme_xml	human
IGF2BP1_3	IGF2BP1	meme_xml	human
IGF2BP1_4	IGF2BP1	meme_xml	human
IGF2BP2_1	IGF2BP2	meme_xml	human
IGF2BP2_2	IGF2BP2	meme_xml	human
IGF2BP3_1	IGF2BP3	meme_xml	human
ILF3_1	ILF3	meme_xml	human
ILF3_2	ILF3	meme_xml	human
ILF3_3	ILF3	meme_xml	human
